cnae_classe;regiao_administrativa;saldo
Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente;Itapeva;     1
Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente;Marília;     0
Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente;Presidente Prudente;    -4
Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente;Região Administrativa Central;   -60
Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente;Ribeirão Preto;   -86
Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente;São José do Rio Preto;   -25
Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente;São José dos Campos;   -47
Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente;São Paulo;  -371
Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente;Sorocaba;  -102
Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação;Araçatuba;    10
Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação;Barretos;    35
Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação;Bauru;   -57
Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação;Campinas;     8
Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação;Franca;  -100
Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação;Marília;   120
Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação;Presidente Prudente;    -2
Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação;Região Administrativa Central;   126
Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação;Ribeirão Preto;   -12
Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação;São José do Rio Preto;    10
Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação;São José dos Campos;    -1
Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação;São Paulo;   -18
Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação;Sorocaba;   -36
Fabricação de máquinas e equipamentos para a indústria do plástico;Araçatuba;    15
Fabricação de máquinas e equipamentos para a indústria do plástico;Bauru;    11
Fabricação de máquinas e equipamentos para a indústria do plástico;Campinas;    -4
Fabricação de máquinas e equipamentos para a indústria do plástico;Marília;     9
Fabricação de máquinas e equipamentos para a indústria do plástico;Região Administrativa Central;    -1
Fabricação de máquinas e equipamentos para a indústria do plástico;Ribeirão Preto;     0
Fabricação de máquinas e equipamentos para a indústria do plástico;São Paulo;   -18
Fabricação de máquinas e equipamentos para a indústria do plástico;Sorocaba;     1
Fabricação de máquinas e equipamentos para a indústria têxtil;Barretos;     1
Fabricação de máquinas e equipamentos para a indústria têxtil;Campinas;    -4
Fabricação de máquinas e equipamentos para a indústria têxtil;Franca;     1
Fabricação de máquinas e equipamentos para a indústria têxtil;São Paulo;   -31
Fabricação de máquinas e equipamentos para a indústria têxtil;Sorocaba;     2
Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo;Campinas;    -1
Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo;São José dos Campos;   102
Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo;São Paulo;    14
Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo;Sorocaba;   -65
Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;Araçatuba;   -26
Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;Bauru;    -2
Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;Campinas;  -189
Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;Franca;    12
Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;Marília;   -26
Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;Presidente Prudente;     1
Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;Região Administrativa Central;    -3
Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;Ribeirão Preto;  -155
Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;São José do Rio Preto;    -3
Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;São José dos Campos;    -7
Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;São Paulo;  -112
Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;Sorocaba;    -5
Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos;Bauru;    11
Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos;Campinas;    -2
Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos;Marília;     1
Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos;Ribeirão Preto;     2
Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos;São Paulo;   -77
Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos;Sorocaba;     0
Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados;Araçatuba;    -6
Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados;Bauru;    -4
Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados;Campinas;   -15
Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados;Franca;   -21
Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados;Marília;    -1
Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados;São José do Rio Preto;    -6
Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados;São Paulo;    -2
Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados;Sorocaba;     1
Fabricação de máquinas e equipamentos para saneamento básico e ambiental;Campinas;   -19
Fabricação de máquinas e equipamentos para saneamento básico e ambiental;Marília;    -4
Fabricação de máquinas e equipamentos para saneamento básico e ambiental;Região Administrativa Central;     0
Fabricação de máquinas e equipamentos para saneamento básico e ambiental;Ribeirão Preto;    -1
Fabricação de máquinas e equipamentos para saneamento básico e ambiental;São José dos Campos;    -5
Fabricação de máquinas e equipamentos para saneamento básico e ambiental;São Paulo;    10
Fabricação de máquinas e equipamentos para saneamento básico e ambiental;Sorocaba;    -1
Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, exceto tratores;Araçatuba;    -5
Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, exceto tratores;Barretos;    -2
Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, exceto tratores;Campinas;  -130
Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, exceto tratores;Marília;    -4
Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, exceto tratores;Ribeirão Preto;     0
Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, exceto tratores;São José do Rio Preto;     0
Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, exceto tratores;São José dos Campos;   -15
Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, exceto tratores;São Paulo;    13
Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, exceto tratores;Sorocaba;   -13
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente;Araçatuba;   -72
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente;Barretos;     1
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente;Bauru;    13
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente;Campinas;  -357
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente;Franca;     9
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente;Itapeva;    -9
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente;Marília;     4
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente;Região Administrativa Central;     0
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente;Ribeirão Preto;   -26
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente;Santos;    -4
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente;São José do Rio Preto;   -20
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente;São José dos Campos;     3
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente;São Paulo;  -328
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente;Sorocaba;  -107
Fabricação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta;Bauru;    -8
Fabricação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta;Campinas;   -38
Fabricação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta;Franca;    -9
Fabricação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta;Região Administrativa Central;    40
Fabricação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta;Ribeirão Preto;    -8
Fabricação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta;São José do Rio Preto;    -3
Fabricação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta;São José dos Campos;    -2
Fabricação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta;São Paulo;   -42
Fabricação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta;Sorocaba;     0
Fabricação de máquinas-ferramenta;Bauru;    -5
Fabricação de máquinas-ferramenta;Campinas;  -128
Fabricação de máquinas-ferramenta;Franca;    -8
Fabricação de máquinas-ferramenta;Itapeva;     0
Fabricação de máquinas-ferramenta;Marília;     2
Fabricação de máquinas-ferramenta;Região Administrativa Central;    -7
Fabricação de máquinas-ferramenta;Ribeirão Preto;   -11
Fabricação de máquinas-ferramenta;São José do Rio Preto;    -6
Fabricação de máquinas-ferramenta;São José dos Campos;    -1
Fabricação de máquinas-ferramenta;São Paulo;   -84
Fabricação de máquinas-ferramenta;Sorocaba;   -76
Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas;Bauru;    13
Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas;Campinas;   -80
Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas;Marília;    -8
Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas;Região Administrativa Central;     3
Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas;Ribeirão Preto;    -6
Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas;Santos;     0
Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas;São José do Rio Preto;     4
Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas;São José dos Campos;   -28
Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas;São Paulo;  -123
Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas;Sorocaba;    16
Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais;Bauru;    -1
Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais;Campinas;    -7
Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais;Franca;     3
Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais;São Paulo;     8
Fabricação de massas alimentícias;Araçatuba;    -3
Fabricação de massas alimentícias;Barretos;    -1
Fabricação de massas alimentícias;Bauru;   -76
Fabricação de massas alimentícias;Campinas;    -9
Fabricação de massas alimentícias;Franca;     2
Fabricação de massas alimentícias;Itapeva;    -1
Fabricação de massas alimentícias;Marília;     3
Fabricação de massas alimentícias;Presidente Prudente;   -27
Fabricação de massas alimentícias;Região Administrativa Central;   -14
Fabricação de massas alimentícias;Ribeirão Preto;    12
Fabricação de massas alimentícias;Santos;    -1
Fabricação de massas alimentícias;São José do Rio Preto;   -16
Fabricação de massas alimentícias;São José dos Campos;   -86
Fabricação de massas alimentícias;São Paulo;  -161
Fabricação de massas alimentícias;Sorocaba;    53
Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias;Barretos;     0
Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias;Bauru;    10
Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias;Campinas;  -209
Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias;Marília;     0
Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias;Presidente Prudente;   -50
Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias;Ribeirão Preto;    47
Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias;São José do Rio Preto;    -1
Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias;São José dos Campos;   -20
Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias;São Paulo;  -223
Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias;Sorocaba;   -45
Fabricação de material elétrico para instalações em circuito de consumo;Araçatuba;    -1
Fabricação de material elétrico para instalações em circuito de consumo;Bauru;    -1
Fabricação de material elétrico para instalações em circuito de consumo;Campinas;   -48
Fabricação de material elétrico para instalações em circuito de consumo;Franca;     6
Fabricação de material elétrico para instalações em circuito de consumo;Marília;     2
Fabricação de material elétrico para instalações em circuito de consumo;Presidente Prudente;    -1
Fabricação de material elétrico para instalações em circuito de consumo;Região Administrativa Central;    -3
Fabricação de material elétrico para instalações em circuito de consumo;Ribeirão Preto;     0
Fabricação de material elétrico para instalações em circuito de consumo;São José do Rio Preto;    -2
Fabricação de material elétrico para instalações em circuito de consumo;São Paulo;   -78
Fabricação de material elétrico para instalações em circuito de consumo;Sorocaba;    27
Fabricação de medicamentos para uso humano;Araçatuba;     1
Fabricação de medicamentos para uso humano;Barretos;     5
Fabricação de medicamentos para uso humano;Bauru;     1
Fabricação de medicamentos para uso humano;Campinas;   318
Fabricação de medicamentos para uso humano;Região Administrativa Central;   -74
Fabricação de medicamentos para uso humano;Ribeirão Preto;    69
Fabricação de medicamentos para uso humano;São José do Rio Preto;    90
Fabricação de medicamentos para uso humano;São José dos Campos;     1
Fabricação de medicamentos para uso humano;São Paulo;   736
Fabricação de medicamentos para uso humano;Sorocaba;     2
Fabricação de medicamentos para uso veterinário;Campinas;    51
Fabricação de medicamentos para uso veterinário;Franca;     7
Fabricação de medicamentos para uso veterinário;Presidente Prudente;     1
Fabricação de medicamentos para uso veterinário;Região Administrativa Central;   -40
Fabricação de medicamentos para uso veterinário;Ribeirão Preto;     1
Fabricação de medicamentos para uso veterinário;São José do Rio Preto;     7
Fabricação de medicamentos para uso veterinário;São José dos Campos;     6
Fabricação de medicamentos para uso veterinário;São Paulo;   -19
Fabricação de medicamentos para uso veterinário;Sorocaba;    19
Fabricação de meias;Araçatuba;    -9
Fabricação de meias;Campinas;    -1
Fabricação de meias;Franca;     9
Fabricação de meias;Região Administrativa Central;  -160
Fabricação de meias;Ribeirão Preto;   -38
Fabricação de meias;São José dos Campos;    -8
Fabricação de meias;São Paulo;  -165
Fabricação de meias;Sorocaba;  -115
Fabricação de mídias virgens, magnéticas e ópticas;São José dos Campos;     0
Fabricação de motocicletas;Araçatuba;     1
Fabricação de motocicletas;Campinas;    -4
Fabricação de motocicletas;Região Administrativa Central;   -27
Fabricação de motocicletas;Ribeirão Preto;   -37
Fabricação de motocicletas;São José dos Campos;    -5
Fabricação de motocicletas;São Paulo;   -23
Fabricação de motocicletas;Sorocaba;    -4
Fabricação de motores e turbinas, exceto para aviões e veículos rodoviários;Campinas;    37
Fabricação de motores e turbinas, exceto para aviões e veículos rodoviários;Marília;     1
Fabricação de motores e turbinas, exceto para aviões e veículos rodoviários;Região Administrativa Central;    13
Fabricação de motores e turbinas, exceto para aviões e veículos rodoviários;Ribeirão Preto;   -67
Fabricação de motores e turbinas, exceto para aviões e veículos rodoviários;Santos;    -6
Fabricação de motores e turbinas, exceto para aviões e veículos rodoviários;São José dos Campos;    20
Fabricação de motores e turbinas, exceto para aviões e veículos rodoviários;São Paulo;  -101
Fabricação de móveis com predominância de madeira;Araçatuba;   -82
Fabricação de móveis com predominância de madeira;Barretos;   -12
Fabricação de móveis com predominância de madeira;Bauru;   -75
Fabricação de móveis com predominância de madeira;Campinas;  -599
Fabricação de móveis com predominância de madeira;Franca;   -29
Fabricação de móveis com predominância de madeira;Itapeva;   -10
Fabricação de móveis com predominância de madeira;Marília;   -58
Fabricação de móveis com predominância de madeira;Presidente Prudente;    -6
Fabricação de móveis com predominância de madeira;Região Administrativa Central;   -69
Fabricação de móveis com predominância de madeira;Registro;     0
Fabricação de móveis com predominância de madeira;Ribeirão Preto;  -102
Fabricação de móveis com predominância de madeira;Santos;     3
Fabricação de móveis com predominância de madeira;São José do Rio Preto;  -983
Fabricação de móveis com predominância de madeira;São José dos Campos;   -43
Fabricação de móveis com predominância de madeira;São Paulo;  -508
Fabricação de móveis com predominância de madeira;Sorocaba;  -356
Fabricação de móveis com predominância de metal;Araçatuba;  -180
Fabricação de móveis com predominância de metal;Barretos;    -3
Fabricação de móveis com predominância de metal;Bauru;  -194
Fabricação de móveis com predominância de metal;Campinas;   -42
Fabricação de móveis com predominância de metal;Franca;     0
Fabricação de móveis com predominância de metal;Marília;     2
Fabricação de móveis com predominância de metal;Presidente Prudente;    -1
Fabricação de móveis com predominância de metal;Região Administrativa Central;    -1
Fabricação de móveis com predominância de metal;Ribeirão Preto;    -6
Fabricação de móveis com predominância de metal;São José do Rio Preto;  -181
Fabricação de móveis com predominância de metal;São José dos Campos;   -10
Fabricação de móveis com predominância de metal;São Paulo;  -292
Fabricação de móveis com predominância de metal;Sorocaba;   -30
Fabricação de móveis de outros materiais, exceto madeira e metal;Araçatuba;    -8
Fabricação de móveis de outros materiais, exceto madeira e metal;Bauru;    -6
Fabricação de móveis de outros materiais, exceto madeira e metal;Campinas;    -7
Fabricação de móveis de outros materiais, exceto madeira e metal;Franca;     1
Fabricação de móveis de outros materiais, exceto madeira e metal;Marília;    -2
Fabricação de móveis de outros materiais, exceto madeira e metal;Região Administrativa Central;     1
Fabricação de móveis de outros materiais, exceto madeira e metal;Ribeirão Preto;   -11
Fabricação de móveis de outros materiais, exceto madeira e metal;São José do Rio Preto;    -3
Fabricação de móveis de outros materiais, exceto madeira e metal;São José dos Campos;     0
Fabricação de móveis de outros materiais, exceto madeira e metal;São Paulo;   -83
Fabricação de móveis de outros materiais, exceto madeira e metal;Sorocaba;    -1
Fabricação de obras de caldeiraria pesada;Araçatuba;   -19
Fabricação de obras de caldeiraria pesada;Campinas;  -163
Fabricação de obras de caldeiraria pesada;Franca;  -424
Fabricação de obras de caldeiraria pesada;Marília;   -21
Fabricação de obras de caldeiraria pesada;Ribeirão Preto;     0
Fabricação de obras de caldeiraria pesada;Santos;     2
Fabricação de obras de caldeiraria pesada;São José do Rio Preto;    -1
Fabricação de obras de caldeiraria pesada;São José dos Campos;   203
Fabricação de obras de caldeiraria pesada;São Paulo;   -36
Fabricação de obras de caldeiraria pesada;Sorocaba;     1
Fabricação de óleos vegetais em bruto, exceto óleo de milho;Araçatuba;     2
Fabricação de óleos vegetais em bruto, exceto óleo de milho;Barretos;     0
Fabricação de óleos vegetais em bruto, exceto óleo de milho;Campinas;   -11
Fabricação de óleos vegetais em bruto, exceto óleo de milho;Franca;    66
Fabricação de óleos vegetais em bruto, exceto óleo de milho;Marília;     4
Fabricação de óleos vegetais em bruto, exceto óleo de milho;Presidente Prudente;     0
Fabricação de óleos vegetais em bruto, exceto óleo de milho;Região Administrativa Central;    86
Fabricação de óleos vegetais em bruto, exceto óleo de milho;Ribeirão Preto;     0
Fabricação de óleos vegetais em bruto, exceto óleo de milho;Santos;    -5
Fabricação de óleos vegetais em bruto, exceto óleo de milho;São José do Rio Preto;    40
Fabricação de óleos vegetais em bruto, exceto óleo de milho;São José dos Campos;     2
Fabricação de óleos vegetais em bruto, exceto óleo de milho;São Paulo;    -3
Fabricação de óleos vegetais em bruto, exceto óleo de milho;Sorocaba;     0
Fabricação de óleos vegetais refinados, exceto óleo de milho;Barretos;    -5
Fabricação de óleos vegetais refinados, exceto óleo de milho;Bauru;    -6
Fabricação de óleos vegetais refinados, exceto óleo de milho;Campinas;    -9
Fabricação de óleos vegetais refinados, exceto óleo de milho;Presidente Prudente;   -45
Fabricação de óleos vegetais refinados, exceto óleo de milho;Região Administrativa Central;     8
Fabricação de óleos vegetais refinados, exceto óleo de milho;São Paulo;   -20
Fabricação de óleos vegetais refinados, exceto óleo de milho;Sorocaba;   -25
Fabricação de outras máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo;Bauru;    -5
Fabricação de outras máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo;Campinas;   -49
Fabricação de outras máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo;Marília;     0
Fabricação de outras máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo;Região Administrativa Central;     1
Fabricação de outras máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo;Ribeirão Preto;     1
Fabricação de outras máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo;São José dos Campos;     2
Fabricação de outras máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo;São Paulo;     2
Fabricação de outras máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo;Sorocaba;     6
Fabricação de outros produtos têxteis não especificados anteriormente;Araçatuba;    -3
Fabricação de outros produtos têxteis não especificados anteriormente;Barretos;    46
Fabricação de outros produtos têxteis não especificados anteriormente;Bauru;    65
Fabricação de outros produtos têxteis não especificados anteriormente;Campinas;  -139
Fabricação de outros produtos têxteis não especificados anteriormente;Franca;     2
Fabricação de outros produtos têxteis não especificados anteriormente;Itapeva;    -4
Fabricação de outros produtos têxteis não especificados anteriormente;Marília;     7
Fabricação de outros produtos têxteis não especificados anteriormente;Região Administrativa Central;   -11
Fabricação de outros produtos têxteis não especificados anteriormente;Ribeirão Preto;   -35
Fabricação de outros produtos têxteis não especificados anteriormente;Santos;     4
Fabricação de outros produtos têxteis não especificados anteriormente;São José do Rio Preto;     0
Fabricação de outros produtos têxteis não especificados anteriormente;São José dos Campos;   -33
Fabricação de outros produtos têxteis não especificados anteriormente;São Paulo;  -880
Fabricação de outros produtos têxteis não especificados anteriormente;Sorocaba;   -84
Fabricação de papel;Araçatuba;   -29
Fabricação de papel;Bauru;    -9
Fabricação de papel;Campinas;    77
Fabricação de papel;Itapeva;     0
Fabricação de papel;Ribeirão Preto;    13
Fabricação de papel;São José dos Campos;    -2
Fabricação de papel;São Paulo;   -44
Fabricação de papel;Sorocaba;     1
Fabricação de partes para calçados, de qualquer material;Araçatuba;   -78
Fabricação de partes para calçados, de qualquer material;Bauru;  -256
Fabricação de partes para calçados, de qualquer material;Campinas;    -1
Fabricação de partes para calçados, de qualquer material;Franca;  -399
Fabricação de partes para calçados, de qualquer material;Marília;    -1
Fabricação de partes para calçados, de qualquer material;São José do Rio Preto;     1
Fabricação de partes para calçados, de qualquer material;São Paulo;    -1
Fabricação de partes para calçados, de qualquer material;Sorocaba;   -29
Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores;Barretos;    -1
Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores;Bauru;     2
Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores;Campinas;  -181
Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores;Franca;     1
Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores;Marília;     1
Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores;Presidente Prudente;     0
Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores;Ribeirão Preto;     9
Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores;São José do Rio Preto;    -5
Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores;São José dos Campos;   -48
Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores;São Paulo;  -212
Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores;Sorocaba;    64
Fabricação de peças e acessórios para o sistema de freios de veículos automotores;Bauru;     0
Fabricação de peças e acessórios para o sistema de freios de veículos automotores;Campinas;  -131
Fabricação de peças e acessórios para o sistema de freios de veículos automotores;Ribeirão Preto;    -2
Fabricação de peças e acessórios para o sistema de freios de veículos automotores;São José do Rio Preto;     0
Fabricação de peças e acessórios para o sistema de freios de veículos automotores;São José dos Campos;     0
Fabricação de peças e acessórios para o sistema de freios de veículos automotores;São Paulo;    41
Fabricação de peças e acessórios para o sistema de freios de veículos automotores;Sorocaba;     3
Fabricação de peças e acessórios para o sistema motor de veículos automotores;Campinas;  -864
Fabricação de peças e acessórios para o sistema motor de veículos automotores;Franca;    -1
Fabricação de peças e acessórios para o sistema motor de veículos automotores;Região Administrativa Central;   -12
Fabricação de peças e acessórios para o sistema motor de veículos automotores;Registro;   -11
Fabricação de peças e acessórios para o sistema motor de veículos automotores;Ribeirão Preto;   -30
Fabricação de peças e acessórios para o sistema motor de veículos automotores;São José do Rio Preto;     4
Fabricação de peças e acessórios para o sistema motor de veículos automotores;São José dos Campos;   -37
Fabricação de peças e acessórios para o sistema motor de veículos automotores;São Paulo;  -217
Fabricação de peças e acessórios para o sistema motor de veículos automotores;Sorocaba;  -134
Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores;Campinas;   -62
Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores;Franca;     6
Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores;Marília;    -1
Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores;Presidente Prudente;     1
Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores;Região Administrativa Central;     5
Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores;São José do Rio Preto;    -6
Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores;São José dos Campos;     1
Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores;São Paulo;   -46
Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores;Sorocaba;     7
Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;Araçatuba;     1
Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;Barretos;     1
Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;Bauru;    -6
Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;Campinas; -1288
Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;Franca;    -6
Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;Marília;     5
Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;Presidente Prudente;   -10
Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;Região Administrativa Central;   -15
Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;Ribeirão Preto;    -3
Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;São José do Rio Preto;  -167
Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;São José dos Campos;  -161
Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;São Paulo; -2268
Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;Sorocaba;  -122
Fabricação de peças e acessórios para veículos ferroviários;Campinas;  -131
Fabricação de peças e acessórios para veículos ferroviários;Franca;    -2
Fabricação de peças e acessórios para veículos ferroviários;São José dos Campos;     2
Fabricação de peças e acessórios para veículos ferroviários;São Paulo;    -4
Fabricação de peças e acessórios para veículos ferroviários;Sorocaba;     1
Fabricação de periféricos para equipamentos de informática;Bauru;     0
Fabricação de periféricos para equipamentos de informática;Campinas;  -133
Fabricação de periféricos para equipamentos de informática;Franca;    -2
Fabricação de periféricos para equipamentos de informática;Ribeirão Preto;    -3
Fabricação de periféricos para equipamentos de informática;São José do Rio Preto;    -2
Fabricação de periféricos para equipamentos de informática;São José dos Campos;   -11
Fabricação de periféricos para equipamentos de informática;São Paulo;  -295
